Store_ID,Store_Name,Store_Type,City,State,Region,Warehouse_ID,Manager_ID,Opening_Date,Store_Size_SqFt,Employee_Count,Latitude,Longitude,Annual_Target_INR,Performance_Tier,Status
STR0001,Meridian Chennai Store 1,Express,Chennai,Tamil Nadu,South,WH016,EMP1001,2017-07-03,7072,36,13.0827,80.2707,48000000,Silver,Active
STR0002,Meridian Visakhapatnam Store 2,Flagship,Visakhapatnam,Andhra Pradesh,South,WH006,EMP1002,2017-06-14,10123,139,17.6868,83.2185,43000000,Platinum,Active
STR0003,Meridian Raipur Store 3,Mall,Raipur,Chhattisgarh,Central,WH038,EMP1003,2018-02-13,29023,11,21.2514,81.6296,15000000,Silver,Active
STR0004,Meridian Hyderabad Store 4,Express,Hyderabad,Telangana,South,WH022,EMP1004,2016-02-23,5539,107,17.385,78.4867,11000000,Gold,Active
STR0005,Meridian Jaipur Store 5,Express,Jaipur,Rajasthan,North,WH035,EMP1005,2016-05-26,14903,30,26.9124,75.7873,40000000,Gold,Active
STR0006,Meridian Indore Store 6,Express,Indore,Madhya Pradesh,Central,WH003,EMP1006,2022-06-01,9967,84,22.7196,75.8577,10000000,Bronze,Active
STR0007,Meridian Thiruvananthapuram Store 7,High Street,Thiruvananthapuram,Kerala,South,WH024,EMP1007,2016-10-28,14630,100,8.5241,76.9366,18000000,Silver,Active
STR0008,Meridian Bengaluru Store 8,High Street,Bengaluru,Karnataka,South,WH016,EMP1008,2016-10-31,17647,107,12.9716,77.5946,22000000,Bronze,Active
STR0009,Meridian Raipur Store 9,High Street,Raipur,Chhattisgarh,Central,WH050,EMP1009,2023-09-14,4332,68,21.2514,81.6296,7000000,Bronze,Active
STR0010,Meridian Bengaluru Store 10,Express,Bengaluru,Karnataka,South,WH037,EMP1010,2024-10-29,26024,90,12.9716,77.5946,18000000,Silver,Active
STR0011,Meridian Patna Store 11,Mall,Patna,Bihar,East,WH016,EMP1011,2023-05-10,20894,147,25.5941,85.1376,21000000,Silver,Active
STR0012,Meridian Visakhapatnam Store 12,Mall,Visakhapatnam,Andhra Pradesh,South,WH009,EMP1012,2020-09-18,18671,33,17.6868,83.2185,8000000,Bronze,Active
STR0013,Meridian Kanpur Store 13,High Street,Kanpur,Uttar Pradesh,North,WH005,EMP1013,2019-04-26,15004,129,26.4499,80.3319,38000000,Gold,Active
STR0014,Meridian New Delhi Store 14,High Street,New Delhi,Delhi,North,WH035,EMP1014,2023-06-03,11243,97,28.6139,77.209,12000000,Gold,Active
STR0015,Meridian New Delhi Store 15,Express,New Delhi,Delhi,North,WH049,EMP1015,2017-01-01,19135,37,28.6139,77.209,45000000,Gold,Active
STR0016,Meridian Panaji Store 16,Mall,Panaji,Goa,West,WH049,EMP1016,2016-10-23,20174,145,15.4909,73.8278,5000000,Silver,Active
STR0017,Meridian Coimbatore Store 17,Express,Coimbatore,Tamil Nadu,South,WH020,EMP1017,2017-09-07,4398,71,11.0168,76.9558,41000000,Bronze,Active
STR0018,Meridian Guwahati Store 18,Express,Guwahati,Assam,East,WH035,EMP1018,2023-08-03,6620,42,26.1445,91.7362,47000000,Silver,Active
STR0019,Meridian Udaipur Store 19,Express,Udaipur,Rajasthan,North,WH035,EMP1019,2023-06-21,26418,61,24.5854,73.7125,50000000,Gold,Active
STR0020,Meridian Bhopal Store 20,Express,Bhopal,Madhya Pradesh,Central,WH029,EMP1020,2016-05-10,10623,67,23.2599,77.4126,9000000,Gold,Active
STR0021,Meridian Kolkata Store 21,Flagship,Kolkata,West Bengal,East,WH046,EMP1021,2022-01-28,4429,68,22.5726,88.3639,9000000,Bronze,Active
STR0022,Meridian Bengaluru Store 22,Mall,Bengaluru,Karnataka,South,WH032,EMP1022,2017-05-27,20169,43,12.9716,77.5946,41000000,Silver,Active
STR0023,Meridian Guwahati Store 23,Mall,Guwahati,Assam,East,WH007,EMP1023,2022-05-23,16624,100,26.1445,91.7362,32000000,Gold,Active
STR0024,Meridian Nagpur Store 24,High Street,Nagpur,Maharashtra,West,WH042,EMP1024,2016-02-08,4486,113,21.1458,79.0882,26000000,Bronze,Active
STR0025,Meridian Ahmedabad Store 25,High Street,Ahmedabad,Gujarat,West,WH009,EMP1025,2019-09-25,8512,81,23.0225,72.5714,34000000,Gold,Active
STR0026,Meridian Patna Store 26,Flagship,Patna,Bihar,East,WH035,EMP1026,2024-05-17,2983,33,25.5941,85.1376,20000000,Gold,Active
STR0027,Meridian Surat Store 27,Express,Surat,Gujarat,West,WH011,EMP1027,2019-04-02,2570,109,21.1702,72.8311,21000000,Bronze,Active
STR0028,Meridian Amritsar Store 28,High Street,Amritsar,Punjab,North,WH047,EMP1028,2023-10-14,20711,134,31.634,74.8723,14000000,Gold,Active
STR0029,Meridian Nagpur Store 29,Express,Nagpur,Maharashtra,West,WH004,EMP1029,2023-05-22,12776,24,21.1458,79.0882,8000000,Silver,Active
STR0030,Meridian Ranchi Store 30,Flagship,Ranchi,Jharkhand,East,WH033,EMP1030,2015-11-25,8589,27,23.3441,85.3096,43000000,Platinum,Active
STR0031,Meridian Kochi Store 31,Express,Kochi,Kerala,South,WH037,EMP1031,2017-10-05,21470,20,9.9312,76.2673,44000000,Platinum,Active
STR0032,Meridian Visakhapatnam Store 32,Express,Visakhapatnam,Andhra Pradesh,South,WH014,EMP1032,2022-07-06,25968,90,17.6868,83.2185,20000000,Gold,Active
STR0033,Meridian Amritsar Store 33,Mall,Amritsar,Punjab,North,WH049,EMP1033,2015-10-25,2805,127,31.634,74.8723,44000000,Bronze,Active
STR0034,Meridian Bengaluru Store 34,High Street,Bengaluru,Karnataka,South,WH009,EMP1034,2018-11-30,4754,72,12.9716,77.5946,28000000,Gold,Active
STR0035,Meridian Raipur Store 35,High Street,Raipur,Chhattisgarh,Central,WH042,EMP1035,2020-12-06,2756,86,21.2514,81.6296,47000000,Platinum,Active
STR0036,Meridian Jaipur Store 36,Express,Jaipur,Rajasthan,North,WH048,EMP1036,2021-03-16,7593,79,26.9124,75.7873,23000000,Silver,Active
STR0037,Meridian Vadodara Store 37,High Street,Vadodara,Gujarat,West,WH017,EMP1037,2020-09-01,18508,74,22.3072,73.1812,8000000,Platinum,Active
STR0038,Meridian Jaipur Store 38,Flagship,Jaipur,Rajasthan,North,WH050,EMP1038,2016-06-19,23376,77,26.9124,75.7873,15000000,Silver,Active
STR0039,Meridian Bhubaneswar Store 39,Mall,Bhubaneswar,Odisha,East,WH045,EMP1039,2016-09-02,20377,19,20.2961,85.8245,28000000,Silver,Active
STR0040,Meridian Hyderabad Store 40,Mall,Hyderabad,Telangana,South,WH003,EMP1040,2019-01-05,9383,73,17.385,78.4867,47000000,Platinum,Active
STR0041,Meridian Bhubaneswar Store 41,Express,Bhubaneswar,Odisha,East,WH016,EMP1041,2024-09-11,7824,55,20.2961,85.8245,31000000,Platinum,Active
STR0042,Meridian Faridabad Store 42,Express,Faridabad,Haryana,North,WH048,EMP1042,2024-02-03,10631,78,28.4089,77.3178,15000000,Silver,Active
